class,label,precision,recall,f1,support
0,accident,0.2500,0.5000,0.3333,2
1,apple,0.0000,0.0000,0.0000,0
2,appointment,0.6667,1.0000,0.8000,2
3,argue,1.0000,1.0000,1.0000,1
4,bad,0.0000,0.0000,0.0000,1
5,balance,0.0000,0.0000,0.0000,1
6,bar,0.0000,0.0000,0.0000,3
7,basketball,1.0000,1.0000,1.0000,1
8,because,0.0000,0.0000,0.0000,1
9,bed,0.0000,0.0000,0.0000,0
10,before,0.6667,0.6667,0.6667,3
11,bird,0.0000,0.0000,0.0000,1
12,black,0.0000,0.0000,0.0000,0
13,blanket,0.0000,0.0000,0.0000,1
14,bowling,0.0000,0.0000,0.0000,1
15,brother,0.0000,0.0000,0.0000,1
16,call,0.0000,0.0000,0.0000,2
17,candy,0.0000,0.0000,0.0000,3
18,champion,0.0000,0.0000,0.0000,2
19,change,0.0000,0.0000,0.0000,1
20,cheat,0.5000,1.0000,0.6667,1
21,check,0.0000,0.0000,0.0000,1
22,cold,0.0000,0.0000,0.0000,2
23,computer,0.5000,1.0000,0.6667,1
24,convince,1.0000,0.5000,0.6667,2
25,cool,0.0000,0.0000,0.0000,2
26,corn,0.0000,0.0000,0.0000,2
27,cousin,0.0000,0.0000,0.0000,2
28,cry,0.0000,0.0000,0.0000,1
29,dark,0.0000,0.0000,0.0000,2
30,daughter,0.0000,0.0000,0.0000,0
31,deaf,0.0000,0.0000,0.0000,2
32,delay,0.0000,0.0000,0.0000,2
33,delicious,0.0000,0.0000,0.0000,1
34,doctor,0.0000,0.0000,0.0000,1
35,dog,0.6667,1.0000,0.8000,2
36,drink,0.3333,1.0000,0.5000,1
37,environment,0.0000,0.0000,0.0000,1
38,example,0.0000,0.0000,0.0000,2
39,family,0.0000,0.0000,0.0000,0
40,far,0.0000,0.0000,0.0000,2
41,fat,1.0000,1.0000,1.0000,1
42,fish,0.0000,0.0000,0.0000,1
43,full,0.0000,0.0000,0.0000,1
44,give,0.5000,1.0000,0.6667,1
45,go,0.0000,0.0000,0.0000,1
46,good,0.5000,0.5000,0.5000,2
47,government,0.0000,0.0000,0.0000,1
48,graduate,0.0000,0.0000,0.0000,0
49,help,1.0000,0.5000,0.6667,2
50,hot,0.0000,0.0000,0.0000,0
51,interest,1.0000,0.5000,0.6667,2
52,language,0.0000,0.0000,0.0000,2
53,last,1.0000,0.5000,0.6667,2
54,later,0.0000,0.0000,0.0000,0
55,laugh,0.0000,0.0000,0.0000,2
56,leave,0.0000,0.0000,0.0000,1
57,letter,1.0000,1.0000,1.0000,1
58,like,1.0000,0.5000,0.6667,2
59,man,0.0000,0.0000,0.0000,0
60,many,0.0000,0.0000,0.0000,0
61,mother,0.0000,0.0000,0.0000,0
62,move,0.0000,0.0000,0.0000,2
63,no,1.0000,1.0000,1.0000,1
64,orange,0.0000,0.0000,0.0000,0
65,order,0.0000,0.0000,0.0000,2
66,perspective,1.0000,1.0000,1.0000,1
67,pizza,0.5000,0.5000,0.5000,2
68,play,0.5000,1.0000,0.6667,2
69,ready,0.4000,1.0000,0.5714,2
70,room,0.5000,0.5000,0.5000,2
71,sandwich,0.0000,0.0000,0.0000,1
72,score,1.0000,0.5000,0.6667,2
73,secretary,0.0000,0.0000,0.0000,1
74,shirt,1.0000,1.0000,1.0000,2
75,short,0.0000,0.0000,0.0000,1
76,silly,1.0000,0.5000,0.6667,2
77,snow,0.5000,1.0000,0.6667,1
78,son,0.0000,0.0000,0.0000,0
79,soon,1.0000,0.5000,0.6667,2
80,speech,0.0000,0.0000,0.0000,2
81,study,0.5000,1.0000,0.6667,1
82,sweet,0.5000,1.0000,0.6667,2
83,take,0.0000,0.0000,0.0000,2
84,tall,0.0000,0.0000,0.0000,1
85,tell,1.0000,1.0000,1.0000,1
86,thanksgiving,0.0000,0.0000,0.0000,1
87,theory,0.2500,1.0000,0.4000,1
88,thin,0.0000,0.0000,0.0000,2
89,thursday,0.0000,0.0000,0.0000,0
90,toast,0.0000,0.0000,0.0000,2
91,trade,0.0000,0.0000,0.0000,1
92,wait,1.0000,1.0000,1.0000,1
93,walk,0.0000,0.0000,0.0000,1
94,what,0.5000,0.6667,0.5714,3
95,white,0.0000,0.0000,0.0000,1
96,who,0.2500,1.0000,0.4000,1
97,why,0.0000,0.0000,0.0000,0
98,woman,0.2500,1.0000,0.4000,1
99,yes,0.0000,0.0000,0.0000,1
